F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,1,8,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,0,scaling_F1_N1_M8_seq_zmq_local,20260727_092911,1.0546977519989014,0.21144342422485352,0.009245157241821289,0.0472867488861084,20,0.0023637652397155763,0.0023674964904785156,0.002408266067504883,,304.98828125,569.7888888888889,3383.6117679683366
1,1,8,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,1,scaling_F1_N1_M8_seq_zmq_local,20260727_092915,1.042405366897583,0.21068263053894043,0.009303092956542969,0.04862332344055176,20,0.0024306535720825194,0.0023915767669677734,0.002504110336303711,,304.71484375,572.1444444444445,3290.6018897622353
1,1,8,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,2,scaling_F1_N1_M8_seq_zmq_local,20260727_092918,1.0759806632995605,0.2143871784210205,0.009696006774902344,0.04873394966125488,20,0.0024361252784729005,0.002399444580078125,0.002488374710083008,,303.90625,572.9222222222222,3283.132213008488
1,1,8,par,8,zmq,heavy_compute_dummy,2000.0,local,1,20,0,scaling_F1_N1_M8_par_zmq_local,20260727_092922,1.107351303100586,0.21064352989196777,0.009397268295288086,0.8580265045166016,20,0.04289926290512085,0.0008586645126342773,0.0013883113861083984,,1388.3125,1047.5333333333333,186.4744260903006
1,1,8,par,8,zmq,heavy_compute_dummy,2000.0,local,1,20,1,scaling_F1_N1_M8_par_zmq_local,20260727_092926,1.052433967590332,0.21315622329711914,0.010163545608520508,0.855736255645752,20,0.04278457164764404,0.0008989572525024414,0.0012617111206054688,,1408.47265625,1002.125,186.97349673382894
1,1,8,par,8,zmq,heavy_compute_dummy,2000.0,local,1,20,2,scaling_F1_N1_M8_par_zmq_local,20260727_092931,1.1319656372070312,0.21291351318359375,0.01057887077331543,0.8635380268096924,20,0.04317454099655151,0.0014278888702392578,0.0023756027221679688,,1380.23046875,1113.1000000000001,185.28425504446372
1,1,16,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,0,scaling_F1_N1_M16_seq_zmq_local,20260727_092935,1.0752620697021484,0.2133481502532959,0.010880708694458008,0.09113240242004395,20,0.004556059837341309,0.004537224769592285,0.004718303680419922,,304.57421875,574.0222222222222,3511.3745660414875
1,1,16,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,1,scaling_F1_N1_M16_seq_zmq_local,20260727_092939,1.0811684131622314,0.21079492568969727,0.00940084457397461,0.09089255332946777,20,0.00454399585723877,0.00454401969909668,0.004710197448730469,,303.97265625,569.7111111111111,3520.6404515897184
1,1,16,seq,,zmq,heavy_compute_dummy,2000.0,local,1,20,2,scaling_F1_N1_M16_seq_zmq_local,20260727_092942,1.0629286766052246,0.21127748489379883,0.009629964828491211,0.09136652946472168,20,0.004567766189575195,0.004556536674499512,0.004695892333984375,,303.6640625,572.588888888889,3502.376656689778
1,1,16,par,8,zmq,heavy_compute_dummy,2000.0,local,1,20,0,scaling_F1_N1_M16_par_zmq_local,20260727_092945,1.0839622020721436,0.2122814655303955,0.012139558792114258,0.8649165630340576,20,0.043243777751922605,0.0015766620635986328,0.0019423961639404297,,1408.59375,1057.6166666666666,369.97788419898654
