F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
2,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F2_N16_M1_seq_zmq_ss_distributed_nat,20260724_111709,4.952096700668335,0.6358215808868408,0.22968554496765137,0.007479190826416016,30,0.0002464135487874349,0.0002275705337524414,0.00032973289489746094,,3004.7890625,1604.378260869565,128356.13133567102
2,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F2_N16_M1_seq_zmq_ss_distributed_nat,20260724_111718,4.118020534515381,0.6353909969329834,0.22363591194152832,0.007094860076904297,30,0.0002337932586669922,0.00022864341735839844,0.0003285408020019531,,2989.81640625,1627.9142857142858,135309.2223939781
2,24,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F2_N24_M1_seq_zmq_ss_distributed_nat,20260724_111725,4.660250425338745,0.6346399784088135,0.4762570858001709,0.0076596736907958984,30,0.00025255680084228515,0.00023043155670166016,0.0004210472106933594,,4384.92578125,2242.92857142857,187997.56466523485
2,24,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F2_N24_M1_seq_zmq_ss_distributed_nat,20260724_111733,4.546673059463501,0.6357247829437256,0.40259790420532227,0.007612466812133789,30,0.00025089581807454425,0.00023508071899414062,0.0003123283386230469,,4394.6171875,2193.985714285714,189163.38626327165
