F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,64,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N64_M1_seq_zmq_ss_local,20260724_111514,3.399449348449707,0.21111059188842773,0.5644371509552002,0.010186910629272461,30,0.00033697287241617836,0.00023365020751953125,0.0009024143218994141,,8981.89453125,4999.526666666666,188477.1615137969
1,64,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N64_M1_seq_zmq_ss_local,20260724_111520,3.686452865600586,0.21088886260986328,1.0257248878479004,0.007876873016357422,30,0.0002613544464111328,0.00020253658294677734,0.0008087158203125,,8995.36328125,5050.2235294117645,243751.5491252497
4,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F4_N32_M1_seq_zmq_ss_local,20260724_111527,8.28899598121643,2.2604691982269287,3.1834518909454346,0.018525362014770508,30,0.0006162563959757487,0.00011539459228515625,0.0037200450897216797,,17921.0,8256.711538461537,207283.3986692578
4,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F4_N32_M1_seq_zmq_ss_local,20260724_111539,8.325711488723755,2.055264472961426,3.370518922805786,0.018547534942626953,30,0.0006169319152832031,0.0003044605255126953,0.0018651485443115234,,18035.69921875,7293.020689655173,207035.59863228526
8,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F8_N16_M1_seq_zmq_ss_local,20260724_111551,9.837341070175171,3.8299431800842285,3.407949209213257,0.022867918014526367,30,0.0007610559463500976,0.0002346038818359375,0.0010361671447753906,,18153.046875,8082.509677419354,167920.83991033726
8,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F8_N16_M1_seq_zmq_ss_local,20260724_111604,9.53012490272522,4.556915283203125,2.401764392852783,0.03619527816772461,30,0.0012050628662109374,9.810924530029297e-05,0.011878013610839844,,18100.1171875,7898.97,106091.18632010224
8,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F8_N32_M1_seq_zmq_ss_local,20260724_111618,18.311950206756592,5.8896284103393555,6.98370623588562,0.033167362213134766,30,0.0011032501856486003,9.40561294555664e-05,0.002105236053466797,,35667.86328125,8637.95581395349,231552.93299020946
8,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F8_N32_M1_seq_zmq_ss_local,20260724_111641,18.141496181488037,5.658177852630615,7.032588243484497,0.0321352481842041,30,0.00106963316599528,0.0005513429641723633,0.002671957015991211,,35670.55859375,8610.631707317072,238989.90777905553
