F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,4,64,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M64_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102610,1.9206879138946533,0.632185697555542,0.07153153419494629,0.4668242931365967,100,0.004667246341705322,0.004568219184875488,0.005777120590209961,,1362.66796875,1603.8818181818183,109677.23992251289,on,cross_fed,all2all,1,1,same_step,1024,256,256,256
2,4,128,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M128_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102614,1.9538366794586182,0.6327733993530273,0.0722043514251709,0.9541141986846924,100,0.009539840221405029,0.008958101272583008,0.014040470123291016,,1384.66796875,1565.25,107324.67889186113,on,cross_fed,all2all,1,1,same_step,2048,512,512,512
2,4,256,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M256_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102619,2.149509906768799,0.638573408126831,0.07566165924072266,1.7482190132141113,100,0.01748095989227295,0.015809297561645508,0.022235870361328125,,1439.015625,1489.9588235294118,117147.79352701007,on,cross_fed,all2all,1,1,same_step,4096,1024,1024,1024
2,4,512,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M512_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102626,2.3494250774383545,0.6352739334106445,0.07576131820678711,3.683439016342163,100,0.03683256149291992,0.03303265571594238,0.04232311248779297,,1556.1171875,1571.6541666666665,111200.42932236544,on,cross_fed,all2all,1,1,same_step,8192,2048,2048,2048
2,4,1024,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M1024_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102636,3.602722406387329,0.6388823986053467,0.0768578052520752,7.651499509811401,100,0.07651306629180908,0.0714561939239502,0.13303685188293457,,1846.578125,1393.980487804878,107063.9812430952,on,cross_fed,all2all,1,1,same_step,16384,4096,4096,4096
2,4,2048,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M2048_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102653,7.398272275924683,0.6422011852264404,0.07050967216491699,16.29416012763977,100,0.16293918132781982,0.15124499797821045,0.25631165504455566,,2443.85546875,1276.3246913580247,100551.36240012661,on,cross_fed,all2all,1,1,same_step,32768,8192,8192,8192
2,4,4096,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N4_M4096_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102726,19.221640825271606,0.6467876434326172,0.08206868171691895,32.932997703552246,100,0.32932706117630006,0.31063032150268555,0.454831600189209,,3636.62109375,1097.415909090909,99498.98972138073,on,cross_fed,all2all,1,1,same_step,65536,16384,16384,16384
