F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,8,4,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N8_M4_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102844,2.1518397331237793,0.635155200958252,0.13417315483093262,0.1269845962524414,100,0.001269071102142334,0.0012745857238769531,0.0013957023620605469,,2443.49609375,2585.990909090909,50399.8137480943,on,cross_fed,all2all,1,1,same_step,256,32,32,32
2,16,4,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N16_M4_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102848,2.864170789718628,0.638430118560791,0.32378625869750977,0.6106746196746826,100,0.00610403299331665,0.005767226219177246,0.009593009948730469,,4669.85546875,3467.092857142857,20960.425712171877,on,cross_fed,all2all,1,1,same_step,1024,64,64,64
2,32,4,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N32_M4_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102853,4.405339002609253,1.0561299324035645,1.2633090019226074,2.3983359336853027,100,0.023980915546417236,0.023600220680236816,0.0277554988861084,,9116.734375,4531.1875,10674.067648506116,on,cross_fed,all2all,1,1,same_step,4096,128,128,128
2,64,4,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N64_M4_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102904,7.0131516456604,1.2020251750946045,3.251251459121704,10.089416980743408,100,0.1008910083770752,0.09871125221252441,0.1116642951965332,,18307.24609375,3831.8777777777777,5074.624242185645,on,cross_fed,all2all,1,1,same_step,16384,256,256,256
2,128,4,seq,,zmq,exchange_dummy,,local,1,100,0,scaling_F2_N128_M4_seq_zmq_local_xcross_fed_all2all_w1_f1_same_step,20260728_102930,,,,,,,,,timeout,37308.01953125,811.8386061080658,,on,cross_fed,all2all,1,1,same_step,65536,512,512,512
