F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,64,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,local,1,30,0,scaling_F1_N64_M1_seq_zmq_ss_local,20260724_112549,3.668365478515625,0.21133875846862793,0.7815268039703369,0.9246425628662109,30,0.030820035934448244,0.026569008827209473,0.05310249328613281,,9038.05078125,5765.805263157895,2076.478065262728
1,64,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,local,1,30,1,scaling_F1_N64_M1_seq_zmq_ss_local,20260724_112557,3.5431177616119385,0.21114778518676758,0.5832629203796387,1.0550332069396973,30,0.035166207949320474,0.022768139839172363,0.08009886741638184,,8984.47265625,5941.116666666667,1819.8479321511459
1,64,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,distributed_nat,3,30,0,scaling_F1_N64_M1_seq_zmq_ss_distributed_nat,20260724_112604,5.251837968826294,0.21167612075805664,0.3666844367980957,0.680485725402832,30,0.022681442896525066,0.022382259368896484,0.023789644241333008,,5691.06640625,2834.8250000000003,2821.5139984948305
1,64,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,distributed_nat,3,30,1,scaling_F1_N64_M1_seq_zmq_ss_distributed_nat,20260724_112613,4.503397464752197,0.21153736114501953,0.3578488826751709,0.7061634063720703,30,0.023537492752075194,0.024049043655395508,0.02430272102355957,,5698.9921875,3107.6869565217394,2718.9174384779317
1,88,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,local,1,30,0,scaling_F1_N88_M1_seq_zmq_ss_local,20260724_112622,4.516587495803833,0.21120238304138184,1.2980146408081055,1.4325151443481445,30,0.04774827162424723,0.04900765419006348,0.08456277847290039,,12335.37109375,6250.35,1842.9124539561587
1,88,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,local,1,30,1,scaling_F1_N88_M1_seq_zmq_ss_local,20260724_112631,4.698182106018066,0.21112918853759766,1.3319587707519531,1.4837031364440918,30,0.04945503870646159,0.04608571529388428,0.10460329055786133,,12321.890625,6527.317391304347,1779.331683780854
1,88,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,distributed_nat,3,30,0,scaling_F1_N88_M1_seq_zmq_ss_distributed_nat,20260724_112640,5.454092502593994,0.2113492488861084,0.5277848243713379,0.809490442276001,30,0.026981178919474283,0.022579431533813477,0.05031299591064453,,7943.75,3659.2307692307686,3261.3108964909497
1,88,1,seq,,zmq_ss,heavy_compute_dummy,50000.0,distributed_nat,3,30,1,scaling_F1_N88_M1_seq_zmq_ss_distributed_nat,20260724_112650,5.262308120727539,0.213576078414917,0.8285958766937256,0.7898101806640625,30,0.026325424512227375,0.021813154220581055,0.045188188552856445,,7938.8359375,4223.369565217392,3342.575298004289
