F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,96,1,seq,,tcp,heavy_compute_dummy,20000.0,local,1,30,0,scaling_F1_N96_M1_seq_tcp_local,20260724_114531,4.683361530303955,0.21404218673706055,1.9657950401306152,0.28174352645874023,30,0.00939009189605713,0.009371757507324219,0.009679555892944336,,13361.05078125,6316.610526315789,10222.062725624895
1,96,1,seq,,tcp,heavy_compute_dummy,20000.0,local,1,30,1,scaling_F1_N96_M1_seq_tcp_local,20260724_114539,4.742602586746216,0.21141362190246582,2.2748138904571533,0.28397274017333984,30,0.009464494387308757,0.009447455406188965,0.010115385055541992,,13359.66796875,6081.220000000001,10141.818535969398
1,96,1,seq,,tcp,heavy_compute_dummy,20000.0,local,1,30,2,scaling_F1_N96_M1_seq_tcp_local,20260724_114547,4.823538303375244,0.2159745693206787,2.202375888824463,0.29335856437683105,30,0.009777386983235678,0.009676933288574219,0.010903120040893555,,13355.15234375,6647.994736842105,9817.337380682442
1,96,1,seq,,zmq,heavy_compute_dummy,20000.0,local,1,30,0,scaling_F1_N96_M1_seq_zmq_local,20260724_114555,4.633081674575806,0.21892881393432617,1.8447301387786865,0.2692101001739502,30,0.008972446123758951,0.008986830711364746,0.009634971618652344,,13360.42578125,6206.672222222224,10697.96414822136
1,96,1,seq,,zmq,heavy_compute_dummy,20000.0,local,1,30,1,scaling_F1_N96_M1_seq_zmq_local,20260724_114603,4.832165002822876,0.21565818786621094,2.2789669036865234,0.2770810127258301,30,0.009234913190205892,0.009065747261047363,0.009434700012207031,,13374.6796875,5989.315,10394.07201405656
1,96,1,seq,,zmq,heavy_compute_dummy,20000.0,local,1,30,2,scaling_F1_N96_M1_seq_zmq_local,20260724_114612,4.89621639251709,0.21301746368408203,2.3366129398345947,0.2820901870727539,30,0.009401766459147136,0.00918889045715332,0.00962519645690918,,13382.82421875,6384.875000000001,10209.500833353055
