F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N32_M1_seq_zmq_ss_local,20260724_111402,2.4135701656341553,0.2110767364501953,0.26518869400024414,0.007780790328979492,30,0.00025655428568522134,0.00023114681243896484,0.0003323554992675781,,4576.06640625,3904.066666666666,123380.78259537306
1,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N32_M1_seq_zmq_ss_local,20260724_111407,2.365231990814209,0.21124792098999023,0.2710106372833252,0.007781028747558594,30,0.0002565145492553711,0.00023567676544189453,0.00033092498779296875,,4589.87109375,4013.0499999999997,123377.00208358867
1,32,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N32_M1_seq_zmq_ss_local,20260724_111411,2.3991687297821045,0.21113920211791992,0.2685079574584961,0.007782936096191406,30,0.00025655428568522134,0.00023114681243896484,0.0003268718719482422,,4574.09375,4104.858333333333,123346.76632765592
2,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F2_N16_M1_seq_zmq_ss_local,20260724_111416,2.8509554862976074,0.6360201835632324,0.36363768577575684,0.007760047912597656,30,0.00025586287180582684,0.00022733211517333984,0.0003864765167236328,,4631.98828125,3686.164285714286,123710.57637950104
2,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F2_N16_M1_seq_zmq_ss_local,20260724_111421,2.9729204177856445,0.6350443363189697,0.4991459846496582,0.0077533721923828125,30,0.00025556087493896487,0.0002315044403076172,0.0003886222839355469,,4638.9921875,3990.266666666667,123817.0922509225
2,16,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,2,scaling_F2_N16_M1_seq_zmq_ss_local,20260724_111427,2.7872467041015625,0.6341006755828857,0.3165590763092041,0.007611989974975586,30,0.0002509276072184245,0.00022673606872558594,0.00041222572326660156,,4633.82421875,3527.542857142857,126116.82400476086
4,8,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F4_N8_M1_seq_zmq_ss_local,20260724_111432,3.429173707962036,1.6547389030456543,0.42324066162109375,0.007558584213256836,30,0.0002492030461629232,0.0002300739288330078,0.00032782554626464844,,4699.21484375,4338.486666666668,127007.91218496673
4,8,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F4_N8_M1_seq_zmq_ss_local,20260724_111438,3.32515287399292,1.6070952415466309,0.2701601982116699,0.008626699447631836,30,0.0002849340438842773,0.00022518634796142578,0.0006074905395507812,,4720.65234375,4403.521428571429,111282.42102644888
4,8,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,2,scaling_F4_N8_M1_seq_zmq_ss_local,20260724_111443,3.388676881790161,1.515826940536499,0.3245987892150879,0.007275581359863281,30,0.00023965835571289064,0.0002244710922241211,0.0003616809844970703,,4711.44140625,4182.428571428571,131948.21863940227
8,4,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F8_N4_M1_seq_zmq_ss_local,20260724_111449,4.515390872955322,2.79850697517395,0.28729891777038574,0.005425214767456055,30,0.0001790761947631836,0.00014066696166992188,0.0002932548522949219,,4843.265625,4574.470588235294,176951.5201054713
8,4,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F8_N4_M1_seq_zmq_ss_local,20260724_111455,4.563811302185059,2.8434548377990723,0.3308844566345215,0.008676767349243164,30,0.00028589566548665367,0.0002301931381225586,0.0003662109375,,4872.91015625,4649.761111111112,110640.2835710164
8,4,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,2,scaling_F8_N4_M1_seq_zmq_ss_local,20260724_111502,4.3039937019348145,2.340181350708008,0.5495181083679199,0.007525920867919922,30,0.000248265266418457,0.00020599365234375,0.0004394054412841797,,4871.859375,4782.847058823529,127559.14084774758
