F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,112,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N112_M1_seq_zmq_ss_distributed_nat,20260724_110150,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_b] failed to open ssh control master to eclabuser@130.192.238.13: unix_listener: path ""logs/scaling_F1_N112_M1_seq_zmq_ss_distributed_nat/20260724_110150/ssh_control/cm-machine_",139.10546875,874.9666666666666,
1,112,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N112_M1_seq_zmq_ss_distributed_nat,20260724_110152,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_a] failed to open ssh control master to eclabuser@130.192.238.9: unix_listener: path ""logs/scaling_F1_N112_M1_seq_zmq_ss_distributed_nat/20260724_110152/ssh_control/cm-machine_a",138.72265625,871.4,
1,150,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N150_M1_seq_zmq_ss_distributed_nat,20260724_110154,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_a] failed to open ssh control master to eclabuser@130.192.238.9: unix_listener: path ""logs/scaling_F1_N150_M1_seq_zmq_ss_distributed_nat/20260724_110154/ssh_control/cm-machine_a",140.5859375,865.4,
1,150,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N150_M1_seq_zmq_ss_distributed_nat,20260724_110156,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_b] failed to open ssh control master to eclabuser@130.192.238.13: unix_listener: path ""logs/scaling_F1_N150_M1_seq_zmq_ss_distributed_nat/20260724_110156/ssh_control/cm-machine_",139.640625,869.4,
1,200,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N200_M1_seq_zmq_ss_distributed_nat,20260724_110158,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_a] failed to open ssh control master to eclabuser@130.192.238.9: unix_listener: path ""logs/scaling_F1_N200_M1_seq_zmq_ss_distributed_nat/20260724_110158/ssh_control/cm-machine_a",142.91015625,827.2999999999998,
1,200,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N200_M1_seq_zmq_ss_distributed_nat,20260724_110200,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"RuntimeError: [machine_a] failed to open ssh control master to eclabuser@130.192.238.9: unix_listener: path ""logs/scaling_F1_N200_M1_seq_zmq_ss_distributed_nat/20260724_110200/ssh_control/cm-machine_a",140.86328125,886.1333333333333,
