F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,0,scaling_F2_N4_M4_seq_zmq_local,20260728_072429,1.8595318794250488,0.6330065727233887,0.07332468032836914,0.01005411148071289,30,0.00033284823099772134,0.00030231475830078125,0.0006937980651855469,,1320.88671875,1706.44,95483.32558691013,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,1,scaling_F2_N4_M4_seq_zmq_local,20260728_072432,1.7920103073120117,0.6354565620422363,0.07209157943725586,0.010210037231445312,30,0.00033780733744303383,0.0003122091293334961,0.0006158351898193359,,1326.87109375,1570.97,94025.12236129273,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,2,scaling_F2_N4_M4_seq_zmq_local,20260728_072436,1.8078274726867676,0.6330156326293945,0.07336854934692383,0.009634256362915039,30,0.00031894842783610026,0.00028693675994873047,0.0006208419799804688,,1322.98828125,1542.73,99644.43168601055,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,3,scaling_F2_N4_M4_seq_zmq_local,20260728_072440,1.8650338649749756,0.6362669467926025,0.07350778579711914,0.010064840316772461,30,0.0003332376480102539,0.00028967857360839844,0.0006194114685058594,,1338.921875,1540.890909090909,95381.54305341703,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,4,scaling_F2_N4_M4_seq_zmq_local,20260728_072444,1.852269172668457,0.6356005668640137,0.07393956184387207,0.009763240814208984,30,0.0003232002258300781,0.00029075145721435547,0.0006413459777832031,,1319.76953125,1610.01,98328.00586080586,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,30,0,scaling_F2_N4_M2_seq_zmq_local,20260728_072448,1.8617615699768066,0.6343111991882324,0.07264447212219238,0.005971431732177734,30,0.0001968701680501302,0.0001856088638305664,0.0002579689025878906,,1340.57421875,1748.72,80382.7325720674,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,30,1,scaling_F2_N4_M2_seq_zmq_local,20260728_072451,1.7798681259155273,0.63327956199646,0.07431483268737793,0.00615382194519043,30,0.00020298163096110026,0.00018715858459472656,0.0002644062042236328,,1324.9140625,1575.81,78000.3068459184,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,30,2,scaling_F2_N4_M2_seq_zmq_local,20260728_072455,1.804992914199829,0.6320886611938477,0.0721583366394043,0.005708932876586914,30,0.00018840630849202474,0.00017023086547851562,0.00026488304138183594,,1327.8671875,1593.64,84078.76049279599,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,30,3,scaling_F2_N4_M2_seq_zmq_local,20260728_072459,1.870485544204712,0.6581192016601562,0.07488536834716797,0.006713390350341797,30,0.00022156238555908202,0.00020837783813476562,0.00028061866760253906,,1319.4453125,1784.6200000000001,71498.89622842532,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,30,4,scaling_F2_N4_M2_seq_zmq_local,20260728_072503,1.7613461017608643,0.6350362300872803,0.07474517822265625,0.0056803226470947266,30,0.00018742879231770833,0.0001685619354248047,0.0002503395080566406,,1327.2578125,1369.3200000000002,84502.24218258132,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,30,0,scaling_F2_N4_M1_seq_zmq_local,20260728_072506,1.8701229095458984,0.6365852355957031,0.07525396347045898,0.0046634674072265625,30,0.00015354156494140625,0.00014209747314453125,0.0002028942108154297,,1316.63671875,1835.4299999999998,51463.8527607362,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,30,1,scaling_F2_N4_M1_seq_zmq_local,20260728_072510,1.8032166957855225,0.6353392601013184,0.07317066192626953,0.0072023868560791016,30,0.0002370913823445638,0.00021982192993164062,0.0003948211669921875,,1322.671875,1829.0900000000001,33322.28673574101,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,30,2,scaling_F2_N4_M1_seq_zmq_local,20260728_072514,1.729365348815918,0.6360213756561279,0.07309508323669434,0.004393339157104492,30,0.0001445929209391276,0.0001245737075805664,0.0002186298370361328,,1328.921875,1389.56,54628.15216801433,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,30,3,scaling_F2_N4_M1_seq_zmq_local,20260728_072517,1.789438247680664,0.6358959674835205,0.0733339786529541,0.004417896270751953,30,0.0001455545425415039,0.00012564659118652344,0.00021123886108398438,,1326.55078125,1531.27,54324.49865083648,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,30,4,scaling_F2_N4_M1_seq_zmq_local,20260728_072521,1.837982416152954,0.631706953048706,0.07088136672973633,0.0045244693756103516,30,0.00014882882436116537,0.0001308917999267578,0.000217437744140625,,1328.3125,1351.33,53044.894345787005,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,0,scaling_F2_N4_M4_seq_zmq_local_xintra_fed_1to1_w1_f1_same_step,20260728_072525,1.8631384372711182,0.6369349956512451,0.07497811317443848,0.012697219848632812,30,0.0004223187764485677,0.0003606081008911133,0.0006072521209716797,,1320.92578125,1732.55,75607.10229833258,on,intra_fed,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,1,scaling_F2_N4_M4_seq_zmq_local_xintra_fed_1to1_w1_f1_same_step,20260728_072529,1.854748249053955,0.6337456703186035,0.07526254653930664,0.013116121292114258,30,0.00043636163075764974,0.00043332576751708984,0.00048351287841796875,,1320.75,1521.4699999999998,73192.36980350099,on,intra_fed,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,2,scaling_F2_N4_M4_seq_zmq_local_xintra_fed_1to1_w1_f1_same_step,20260728_072533,1.7890925407409668,0.6322958469390869,0.07330036163330078,0.012479066848754883,30,0.00041501522064208985,0.00033342838287353516,0.0008802413940429688,,1328.7578125,1379.31,76928.8290250473,on,intra_fed,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,3,scaling_F2_N4_M4_seq_zmq_local_xintra_fed_1to1_w1_f1_same_step,20260728_072536,1.8438339233398438,0.633336067199707,0.07228374481201172,0.012657403945922852,30,0.00042102336883544924,0.00031256675720214844,0.0006339550018310547,,1317.53125,1658.72,75844.93661587145,on,intra_fed,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq,exchange_dummy,,local,1,30,4,scaling_F2_N4_M4_seq_zmq_local_xintra_fed_1to1_w1_f1_same_step,20260728_072540,1.7822906970977783,0.6341960430145264,0.07492423057556152,0.012851476669311523,30,0.00042708714803059894,0.0003622770309448242,0.001074075698852539,,1329.82421875,1458.56,74699.58703597203,on,intra_fed,1to1,1,1,same_step,16,16,4,4
